id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,43808,788,791,219,216,834.75,897.75,1.0044965744018555,0.9895961284637451,0,0,1008,1008
1,3941,66,938,76,69,110.25,992.25,1.0043671131134033,0.9914184808731079,0,0,1008,1008
2,21549,0,784,128,223,15.75,866.25,0.9961374998092651,0.9895246624946594,0,0,1008,1008
3,85268,302,107,271,495,362.25,393.75,0.9924073219299316,0.980404257774353,0,0,1008,1008
4,46489,622,237,168,390,771.75,330.75,0.9904462099075317,0.9786202311515808,0,0,1008,1008
5,55178,0,225,205,321,173.25,362.25,0.985500156879425,0.9539940357208252,0,0,1008,1008
6,46417,622,237,251,391,677.25,299.25,0.9843189716339111,0.9757539629936218,0,0,1008,1008
7,4446,568,92,71,90,614.25,173.25,0.9831923246383667,0.9823700189590454,0,0,1008,1008
8,9932,811,300,196,63,992.25,330.75,0.9830074310302734,0.9783886075019836,0,0,1008,1008
9,36533,567,45,440,135,992.25,78.75,0.9829063415527344,0.957219660282135,0,0,1008,1008
10,8364,0,525,102,99,15.75,582.75,0.9783377647399902,0.9610040783882141,0,0,1008,1008
11,11716,821,407,73,288,866.25,519.75,0.9775311946868896,0.9564927220344543,0,0,1008,1008
12,21271,0,629,147,167,15.75,645.75,0.9733443260192871,0.9682282209396362,0,0,1008,1008
13,9547,911,637,96,126,929.25,677.25,0.9728074669837952,0.979784369468689,0,0,1008,1008
14,5818,904,395,103,104,992.25,425.25,0.9706724882125854,0.9725097417831421,0,0,1008,1008
15,87990,225,548,302,459,362.25,677.25,0.9673035740852356,0.9763103127479553,0,0,1008,1008
16,2130,104,578,44,67,110.25,614.25,0.964509129524231,0.9695150256156921,0,0,1008,1008
17,6963,777,685,159,59,803.25,708.75,0.9630833864212036,0.9658963084220886,0,0,1008,1008
18,589,250,784,23,36,267.75,803.25,0.9606494903564453,0.9698996543884277,0,0,1008,1008
19,11488,783,737,224,78,992.25,771.75,0.9596010446548462,0.9750708937644958,0,0,1008,1008
20,2450,931,495,41,63,960.75,551.25,0.9524480104446411,0.9504165053367615,0,0,1008,1008
21,1516,986,546,21,90,992.25,614.25,0.9489717483520508,0.9706840515136719,0,0,1008,1008
22,52621,598,536,170,471,645.75,677.25,0.9480183124542236,0.9668757915496826,0,0,1008,1008
23,24333,784,878,223,129,929.25,992.25,0.9474527835845947,0.9822629690170288,0,0,1008,1008
24,86355,90,107,484,897,393.75,488.25,0.9464969635009766,0.9579368829727173,0,0,1008,1008
25,864,170,248,37,27,173.25,267.75,0.9458481073379517,0.972540020942688,0,0,1008,1008
26,46790,604,148,403,157,960.75,267.75,0.9429977536201477,0.9596850275993347,0,0,1008,1008
27,461954,79,32,714,975,582.75,488.25,0.9419772624969482,0.9525113701820374,0,0,1008,1008
28,43684,781,693,226,314,960.75,834.75,0.939436137676239,0.9602402448654175,0,0,1008,1008
29,1235,761,953,34,48,771.75,960.75,0.9390982389450073,0.9712689518928528,0,0,1008,1008
30,19093,787,791,220,112,803.25,803.25,0.9350482225418091,0.9565194845199585,0,0,1008,1008
31,31799,0,741,1007,266,110.25,803.25,0.9307178854942322,0.957806408405304,0,0,1008,1008
32,8629,249,728,220,60,330.75,771.75,0.9302518963813782,0.9695135951042175,0,0,1008,1008
33,4189,776,614,129,48,803.25,645.75,0.9293086528778076,0.9617640376091003,0,0,1008,1008
34,40323,280,46,727,137,614.25,141.75,0.9277625679969788,0.9758375883102417,0,0,1008,1008
35,959,816,660,45,25,834.75,677.25,0.920167088508606,0.9554204940795898,0,0,1008,1008
36,1209,554,614,44,47,582.75,645.75,0.9196491241455078,0.9610389471054077,0,0,1008,1008
37,933,989,547,18,62,992.25,582.75,0.9195847511291504,0.9798941612243652,0,0,1008,1008
38,5979,903,395,104,362,960.75,456.75,0.9168894290924072,0.9735110402107239,0,0,1008,1008
39,2270,0,526,86,44,15.75,551.25,0.9103551506996155,0.9658156633377075,0,0,1008,1008
40,209,7,3,17,17,15.75,15.75,0.9097338914871216,0.9857142567634583,0,0,1008,1008
41,1662,866,614,41,49,897.75,614.25,0.908547043800354,0.9640542268753052,0,0,1008,1008
42,726,529,340,23,51,551.25,362.25,0.9055891036987305,0.9650067090988159,0,0,1008,1008
43,2283,252,109,48,100,267.75,173.25,0.9051008820533752,0.9677280783653259,0,0,1008,1008
44,769,70,602,32,27,78.75,614.25,0.9023134708404541,0.9593392610549927,0,0,1008,1008
45,2006,86,891,59,61,110.25,929.25,0.8989336490631104,0.966176450252533,0,0,1008,1008
46,810,815,567,30,34,834.75,582.75,0.8927979469299316,0.9612590670585632,0,0,1008,1008
